,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,npm_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,new_addition,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
239,Send2Trash,arsenetar/send2trash,Python library to natively send files to Trash (or Recycle bin) on all platforms.,,others,https://github.com/arsenetar/send2trash,https://github.com/arsenetar/send2trash,BSD-3-Clause,2013-07-19 22:13:14.000,2021-08-24 06:21:27.000,2021-08-24 06:21:12,149.0,,31,6.0,24.0,18.0,25.0,195,2021-08-09 23:11:59.000,1.8.0,14.0,13.0,26,True,send2trash,conda-forge/send2trash,,,8756255.0,2690.0,,https://pypi.org/project/send2trash,2021-08-21 03:44:45.000,2690.0,8665062.0,https://anaconda.org/conda-forge/send2trash,2021-08-09 12:16:59.375,4650870.0,,,,,3.0,,,,,,,,,,,,
240,entrypoints,takluyver/entrypoints,Discover and load entry points from installed packages.,,inspect,https://github.com/takluyver/entrypoints,https://github.com/takluyver/entrypoints,MIT,2015-05-02 18:12:08.000,2022-02-03 11:39:53.101,2022-02-02 21:29:14,74.0,14.0,21,5.0,23.0,3.0,20.0,69,2017-06-08 10:55:15.000,0.2.3,7.0,11.0,26,False,entrypoints,conda-forge/entrypoints,,,14990389.0,7826.0,,https://pypi.org/project/entrypoints,2022-02-02 21:30:26.000,7826.0,14891057.0,https://anaconda.org/conda-forge/entrypoints,2022-02-03 11:39:53.101,7151932.0,,,,,3.0,,,,,,,,,,,,
241,storm,emre/storm,Manage your SSH like a boss.,,infrastructure,https://github.com/emre/storm,https://github.com/emre/storm,MIT,2013-05-20 18:30:39.000,2022-02-11 01:56:29.000,2018-08-07 19:46:34,339.0,,165,89.0,78.0,22.0,82.0,3895,2018-08-24 22:08:05.000,0.7.0,13.0,30.0,25,False,storm,,,,2747.0,120.0,44.0,https://pypi.org/project/storm,2021-12-15 13:44:40.226,76.0,2747.0,,,,,,,,3.0,,,,,,,,,,,,
242,fabtools,fabtools/fabtools,Tools for writing awesome Fabric files.,,infrastructure,https://github.com/fabtools/fabtools,https://github.com/fabtools/fabtools,BSD-2-Clause,2011-09-05 01:44:24.000,2019-12-13 07:52:20.000,2019-09-16 09:19:00,939.0,,218,45.0,231.0,104.0,64.0,1255,2016-10-12 10:37:57.000,0.20.0,30.0,88.0,25,False,fabtools,,,,2477.0,469.0,280.0,https://pypi.org/project/fabtools,2016-10-12 10:37:57.000,189.0,2477.0,,,,,,,,3.0,,,,,,,,,,,,
243,parallel-ssh,ParallelSSH/parallel-ssh,Asynchronous parallel SSH client library.,,infrastructure,https://github.com/ParallelSSH/parallel-ssh,https://github.com/ParallelSSH/parallel-ssh,LGPL-2.1,2012-12-24 14:45:36.000,2022-04-01 14:20:32.000,2022-04-01 14:20:31,528.0,5.0,142,42.0,116.0,12.0,197.0,1002,2022-04-01 14:04:00.000,2.10.0,95.0,18.0,25,False,parallel-ssh,,,316.0,240628.0,173.0,149.0,https://pypi.org/project/parallel-ssh,2022-04-01 14:04:00.000,24.0,240625.0,,,,,,,,3.0,,,,,,,,,,,,
244,ubelt,Erotemic/ubelt,"A Python utility belt containing simple tools, a stdlib like feel, and extra batteries. Hashing, Caching, Timing,..",,utilities,https://github.com/Erotemic/ubelt,https://github.com/Erotemic/ubelt,Apache-2.0,2017-01-30 21:14:57.000,2022-04-12 13:32:03.456,2022-04-09 20:52:11,1080.0,52.0,43,17.0,98.0,1.0,6.0,599,2022-02-20 19:32:18.000,1.0.1,60.0,2.0,25,True,ubelt,conda-forge/ubelt,,,42437.0,1323.0,1273.0,https://pypi.org/project/ubelt,2022-02-20 19:29:53.000,50.0,41919.0,https://anaconda.org/conda-forge/ubelt,2022-04-12 13:32:03.456,3631.0,,,,,3.0,,,,,,,,,,,,
245,pysimdjson,TkTech/pysimdjson,Python bindings for the simdjson project.,,serialization,https://github.com/TkTech/pysimdjson,https://github.com/TkTech/pysimdjson,MIT,2019-02-22 03:26:04.000,2022-04-19 15:06:23.000,2021-12-06 01:23:28,267.0,,41,8.0,21.0,12.0,62.0,519,2021-12-06 02:07:55.000,4.0.3,33.0,12.0,25,True,pysimdjson,conda-forge/pysimdjson,,,142941.0,267.0,252.0,https://pypi.org/project/pysimdjson,2021-12-06 02:07:55.000,15.0,141832.0,https://anaconda.org/conda-forge/pysimdjson,2022-04-09 05:14:51.873,19977.0,,,,,3.0,,,,,,,,,,,,
246,pyscreenshot,ponty/pyscreenshot,"Python screenshot library, replacement for the Pillow ImageGrab module on Linux.",,others,https://github.com/ponty/pyscreenshot,https://github.com/ponty/pyscreenshot,BSD-2-Clause,2011-02-01 13:02:51.000,2022-01-15 22:10:28.000,2022-01-01 17:18:49,578.0,,81,15.0,25.0,5.0,61.0,430,2018-12-21 10:20:02.000,0.5.1,22.0,23.0,25,True,pyscreenshot,,,,93228.0,1730.0,1485.0,https://pypi.org/project/pyscreenshot,2021-04-18 19:30:22.000,245.0,93228.0,,,,,,,,3.0,,,,,,,,,,,,
247,hickle,telegraphic/hickle,a HDF5-based python pickle replacement.,,serialization,https://github.com/telegraphic/hickle,https://github.com/telegraphic/hickle,MIT,2012-05-28 09:04:16.000,2022-03-31 12:24:27.000,2021-12-19 01:57:17,479.0,,65,21.0,61.0,7.0,91.0,411,2021-12-17 00:17:43.000,5.0.0,37.0,22.0,25,True,hickle,conda-forge/hickle,,,4768.0,443.0,360.0,https://pypi.org/project/hickle,2021-12-17 00:50:45.000,83.0,4309.0,https://anaconda.org/conda-forge/hickle,2019-07-11 01:30:06.807,17939.0,,,,,3.0,,,,,,,,,,,,
248,ptyprocess,pexpect/ptyprocess,Run a subprocess in a pseudo terminal.,,process-utils,https://github.com/pexpect/ptyprocess,https://github.com/pexpect/ptyprocess,ISC,2014-10-02 16:52:41.000,2021-10-31 14:08:10.000,2021-10-31 14:08:10,141.0,,62,18.0,41.0,17.0,17.0,169,2020-12-28 15:17:57.000,0.7.0,10.0,16.0,25,True,ptyprocess,conda-forge/ptyprocess,,,21741374.0,12911.0,,https://pypi.org/project/ptyprocess,2020-12-28 15:15:28.000,12911.0,21643130.0,https://anaconda.org/conda-forge/ptyprocess,2020-12-31 12:57:25.227,7073633.0,,,,,3.0,,,,,,,,,,,,
