,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,commit_count,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels,gitlab_id,dockerhub_id,docs_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
187,bidict,jab/bidict,The bidirectional mapping library for Python.,,data-structures,https://github.com/jab/bidict,https://github.com/jab/bidict,MPL-2.0,2014-09-23 14:00:27.000000,2021-09-05 23:34:28.000000,2021-09-05 23:33:17.000000,43.0,43.0,892.0,2021-09-05 16:56:23.000000,0.21.3,38.0,11.0,2.0,26,True,,conda-forge/bidict,bidict,,567608.0,4800.0,4236.0,https://pypi.org/project/bidict,2021-09-05 15:33:10.000000,564.0,565952.0,https://anaconda.org/conda-forge/bidict,2021-09-05 18:11:04.926000,99367.0,2.0,,,,,,,,,,
188,sqlitedict,RaRe-Technologies/sqlitedict,"Persistent dict, backed by sqlite3 and pickle, multithread-safe.",,data-structures,https://github.com/RaRe-Technologies/sqlitedict,https://github.com/RaRe-Technologies/sqlitedict,Apache-2.0,2011-07-19 14:09:09.000000,2021-08-27 14:22:13.000000,2021-01-30 06:28:54.000000,100.0,56.0,709.0,2020-09-10 06:11:55.000000,1.7.0,18.0,32.0,24.0,26,True,255.0,conda-forge/sqlitedict,sqlitedict,,148786.0,1368.0,1126.0,https://pypi.org/project/sqlitedict,2020-09-04 04:52:38.000000,242.0,148385.0,https://anaconda.org/conda-forge/sqlitedict,2020-09-30 16:31:44.818000,13650.0,2.0,,,,,,,,,,
189,holidays,dr-prodigy/python-holidays,Generate and work with holidays in Python.,,date-time-utils,https://github.com/dr-prodigy/python-holidays,https://github.com/dr-prodigy/python-holidays,MIT,2014-08-24 15:17:18.000000,2021-09-16 04:24:56.000000,2021-07-18 08:56:29.000000,267.0,190.0,620.0,2021-07-18 09:25:52.000000,0.11.2,33.0,148.0,32.0,26,True,840.0,conda-forge/holidays,holidays,161.0,26048.0,558.0,,https://pypi.org/project/holidays,2021-07-18 09:25:52.000000,558.0,,https://anaconda.org/conda-forge/holidays,2021-07-20 23:42:04.524000,833525.0,3.0,,,,,,,,,,
190,Intake,intake/intake,"Intake is a lightweight package for finding, investigating, loading and disseminating data.",,data-loading,https://github.com/intake/intake,https://github.com/intake/intake,BSD-2-Clause,2017-08-14 20:44:22.000000,2021-09-07 14:21:25.000000,2021-09-07 14:21:25.000000,104.0,202.0,617.0,2021-08-09 13:36:43.000000,0.6.3,22.0,63.0,80.0,26,True,1717.0,conda-forge/intake,intake,,9812.0,369.0,295.0,https://pypi.org/project/intake,2021-08-09 13:36:43.000000,74.0,6947.0,https://anaconda.org/conda-forge/intake,2021-08-09 15:40:52.154000,97441.0,3.0,,,,,,,,,,
191,janus,aio-libs/janus,Thread-safe asyncio-aware queue for Python.,,data-structures,https://github.com/aio-libs/janus,https://github.com/aio-libs/janus,Apache-2.0,2015-06-08 15:45:28.000000,2021-08-02 05:22:59.000000,2021-08-02 05:22:58.000000,30.0,26.0,520.0,2020-10-26 15:24:56.000000,0.6.1,15.0,21.0,6.0,26,True,480.0,conda-forge/janus,janus,,116514.0,2050.0,1958.0,https://pypi.org/project/janus,2020-10-26 15:24:56.000000,92.0,116250.0,https://anaconda.org/conda-forge/janus,2020-11-02 16:39:38.828000,7146.0,2.0,,,,,,,,,,
192,beaker,bbangert/beaker,WSGI middleware for sessions and caching.,,caching,https://github.com/bbangert/beaker,https://github.com/bbangert/beaker,BSD-3-Clause,2011-10-16 17:48:39.000000,2021-06-19 05:45:59.000000,2020-10-08 07:45:29.000000,130.0,52.0,476.0,2019-08-26 22:02:52.000000,1.11.0,58.0,85.0,66.0,26,True,799.0,conda-forge/beaker,beaker,,260803.0,5608.0,2994.0,https://pypi.org/project/beaker,2019-08-26 22:02:01.000000,2614.0,259795.0,https://anaconda.org/conda-forge/beaker,2019-08-27 07:08:58.966000,54451.0,2.0,,,,,,,,,,
193,multidict,aio-libs/multidict,The multidict implementation.,,data-structures,https://github.com/aio-libs/multidict,https://github.com/aio-libs/multidict,Apache-2.0,2016-02-06 14:52:32.000000,2021-09-14 23:05:22.000000,2021-09-14 23:05:17.000000,63.0,112.0,256.0,2020-12-03 13:00:53.000000,5.1.0,118.0,37.0,10.0,26,True,963.0,conda-forge/multidict,multidict,1549.0,51239.0,5340.0,,https://pypi.org/project/multidict,2020-12-03 13:00:53.000000,5340.0,,https://anaconda.org/conda-forge/multidict,2021-06-29 15:49:44.313000,2663190.0,2.0,,,,,,,,,,
194,cloudant,cloudant/python-cloudant,A Python library for Cloudant and CouchDB.,,db-clients,https://github.com/cloudant/python-cloudant,https://github.com/cloudant/python-cloudant,Apache-2.0,2015-08-28 16:22:49.000000,2021-08-26 14:15:46.968000,2021-08-26 11:17:13.000000,49.0,247.0,166.0,2021-08-26 11:18:59.000000,2.15.0,47.0,29.0,2.0,26,True,824.0,conda-forge/cloudant,cloudant,,55862.0,2053.0,1519.0,https://pypi.org/project/cloudant,2021-08-26 11:14:04.000000,534.0,54455.0,https://anaconda.org/conda-forge/cloudant,2021-08-26 14:15:46.968000,84445.0,3.0,,,,,,,,,,
195,toga,beeware/toga,"A Python native, OS native GUI toolkit.",,gui-dev,https://github.com/beeware/toga,https://github.com/beeware/toga,BSD-3-Clause,2014-08-01 21:44:10.000000,2021-09-13 01:16:57.000000,2021-09-11 05:49:45.000000,489.0,374.0,2760.0,2017-08-14 18:29:09.000000,0.2.15,48.0,195.0,138.0,25,True,4364.0,,toga,,878.0,44.0,,https://pypi.org/project/toga,2021-07-25 01:59:15.000000,44.0,878.0,,,,3.0,,,,,,,,,,
196,Pony,ponyorm/pony,Pony Object Relational Mapper.,,db-clients,https://github.com/ponyorm/pony,https://github.com/ponyorm/pony,Apache-2.0,2013-02-08 04:56:00.000000,2021-07-30 08:15:01.000000,2021-02-28 21:36:46.000000,204.0,307.0,2697.0,2020-11-23 19:13:28.000000,0.7.14,44.0,20.0,270.0,25,True,,conda-forge/pony,pony,,67672.0,2628.0,2090.0,https://pypi.org/project/pony,2020-11-23 18:56:34.000000,538.0,66654.0,https://anaconda.org/conda-forge/pony,2020-11-23 21:18:14.049000,57033.0,3.0,,,,,,,,,,
197,tortoise-orm,tortoise/tortoise-orm,"Familiar asyncio ORM for python, built with relations in mind.",,db-clients,https://github.com/tortoise/tortoise-orm,https://github.com/tortoise/tortoise-orm,Apache-2.0,2018-03-29 16:52:10.000000,2021-09-08 06:30:36.000000,2021-09-07 07:24:48.000000,204.0,359.0,2341.0,2021-08-31 09:30:39.000000,0.17.7,142.0,82.0,232.0,25,True,1013.0,,tortoise-orm,9.0,39011.0,18.0,,https://pypi.org/project/tortoise-orm,2021-08-31 09:30:39.000000,18.0,39011.0,,,,3.0,,,,,,,,,,
