,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,conda_dependent_project_count,trending,labels
12,docker,docker/docker-py,A Python library for the Docker Engine API.,,infrastructure,https://github.com/docker/docker-py,https://github.com/docker/docker-py,Apache-2.0,2013-05-23 16:15:07.000,2021-02-25 13:30:18.000,2021-02-25 13:30:18.000,1434,399.0,1049.0,5124,2021-02-24 17:16:15.000,4.4.4,72.0,386,36,True,conda-forge/docker-py,docker,3154.0,,7294748.0,23557.0,19189.0,https://pypi.org/project/docker,2021-02-18 14:37:00.000,4368.0,7277974.0,https://anaconda.org/conda-forge/docker-py,2021-02-24 19:56:36.772,922576.0,2.0,,,
13,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207,2021-02-25 00:44:08.000,2021-02-25 00:43:29.000,520,148.0,5495.0,3369,2021-02-01 20:56:35.000,rel_1_3_23,210.0,456,36,True,conda-forge/sqlalchemy,SQLAlchemy,13607.0,1479.0,9063535.0,325455.0,241749.0,https://pypi.org/project/SQLAlchemy,2021-02-15 20:00:17.000,83706.0,8998818.0,https://anaconda.org/conda-forge/sqlalchemy,2021-02-02 00:35:44.745,3166913.0,1.0,,,
14,pymongo,mongodb/mongo-python-driver,PyMongo - the Python driver for MongoDB.,,db-clients,https://github.com/mongodb/mongo-python-driver,https://github.com/mongodb/mongo-python-driver,Apache-2.0,2009-01-15 15:18:06.000,2021-02-20 01:33:36.000,2021-02-18 16:52:36.000,984,3.0,,3225,2021-02-03 02:58:15.000,3.11.3,116.0,180,36,True,conda-forge/pymongo,pymongo,4662.0,,4182063.0,123706.0,87844.0,https://pypi.org/project/pymongo,2021-02-03 02:58:15.000,35862.0,4175821.0,https://anaconda.org/conda-forge/pymongo,2020-10-12 20:39:14.177,349587.0,1.0,,,
15,PyYAML,yaml/pyyaml,Canonical source repository for PyYAML.,,file-formats,https://github.com/yaml/pyyaml,https://github.com/yaml/pyyaml,MIT,2011-11-03 05:09:49.000,2021-02-23 20:41:48.000,2021-01-20 21:40:50.000,305,179.0,198.0,1389,2021-01-20 22:07:31.000,5.4.1,28.0,36,36,True,conda-forge/pyyaml,pyyaml,285.0,,42280033.0,400298.0,285962.0,https://pypi.org/project/pyyaml,2021-01-20 22:07:31.000,114336.0,42111081.0,https://anaconda.org/conda-forge/pyyaml,2021-01-21 02:30:09.972,9461334.0,1.0,,,
16,python-prompt-toolkit,prompt-toolkit/python-prompt-toolkit,Library for building powerful interactive command line applications in Python.,,cli-helpers,https://github.com/prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,BSD-3-Clause,2014-01-25 22:12:08.000,2021-02-25 00:56:36.000,2021-02-23 20:46:26.000,529,397.0,473.0,6872,2019-10-03 15:18:40.000,2.0.10,81.0,175,35,True,,prompt_toolkit,2514.0,,7671471.0,138611.0,132395.0,https://pypi.org/project/prompt_toolkit,2019-10-03 15:18:40.000,6216.0,7671471.0,,,,1.0,,,
17,PyMySQL,PyMySQL/PyMySQL,Pure Python MySQL Client.,,db-clients,https://github.com/PyMySQL/PyMySQL,https://github.com/PyMySQL/PyMySQL,MIT,2011-07-27 17:38:47.000,2021-02-12 16:29:46.000,2021-02-02 06:23:09.000,1269,16.0,536.0,6331,2021-01-09 11:33:39.000,1.0.2,35.0,110,35,True,conda-forge/pymysql,PyMySQL,1003.0,,3793334.0,94199.0,75773.0,https://pypi.org/project/PyMySQL,2021-01-09 11:33:39.000,18426.0,3786887.0,https://anaconda.org/conda-forge/pymysql,2021-01-09 16:18:43.582,257892.0,1.0,,,
18,google-cloud-storage,googleapis/google-cloud-python,Google Cloud Client Library for Python.,,db-clients,https://github.com/googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Apache-2.0,2014-01-28 15:51:47.000,2021-02-10 22:22:38.000,2021-02-01 17:10:22.000,1344,24.0,3320.0,3482,2021-02-10 22:22:38.000,1.36.0,100.0,314,35,True,conda-forge/google-cloud-storage,google-cloud-storage,9053.0,,12187881.0,2108.0,,https://pypi.org/project/google-cloud-storage,2021-02-10 22:22:38.000,2108.0,12173446.0,https://anaconda.org/conda-forge/google-cloud-storage,2021-01-06 20:46:41.990,635177.0,1.0,,,
19,elasticsearch,elastic/elasticsearch-py,Official Python low-level client for Elasticsearch.,,db-clients,https://github.com/elastic/elasticsearch-py,https://github.com/elastic/elasticsearch-py,Apache-2.0,2013-05-01 22:47:39.000,2021-02-24 22:33:15.000,2021-02-24 22:33:05.000,970,74.0,784.0,3106,2021-02-10 19:52:33.000,7.11.0,66.0,170,35,True,conda-forge/elasticsearch,elasticsearch,1275.0,237.0,11786213.0,30767.0,20193.0,https://pypi.org/project/elasticsearch,2021-02-10 19:52:33.000,10574.0,11779728.0,https://anaconda.org/conda-forge/elasticsearch,2021-02-11 02:40:57.012,359878.0,1.0,,,
20,psycopg2,psycopg/psycopg2,PostgreSQL database adapter for the Python programming language.,,db-clients,https://github.com/psycopg/psycopg2,https://github.com/psycopg/psycopg2,BSD-3-Clause-Attribution,2013-01-21 11:05:11.000,2021-02-04 16:14:22.899,2020-12-16 23:41:45.000,365,44.0,951.0,2087,2020-12-25 13:51:59.000,2.8.6,45.0,111,35,False,psycopg2,psycopg2,2871.0,,4134706.0,422640.0,303428.0,https://pypi.org/project/psycopg2,2020-09-06 22:41:27.000,119212.0,4134151.0,https://anaconda.org/anaconda/psycopg2,2021-02-04 16:14:22.899,34998.0,1.0,0.0,,
21,python-dateutil,dateutil/dateutil,Useful extensions to the standard Python datetime features.,,date-time-utils,https://github.com/dateutil/dateutil,https://github.com/dateutil/dateutil,Apache-2.0,2014-11-19 18:56:16.000,2021-02-19 13:15:15.000,2020-09-28 20:40:12.000,354,262.0,341.0,1505,2019-11-03 05:42:01.000,2.8.1,23.0,118,35,True,conda-forge/python-dateutil,python-dateutil,1493.0,34239.0,44042389.0,116628.0,,https://pypi.org/project/python-dateutil,2019-11-03 05:42:01.000,116628.0,43805372.0,https://anaconda.org/conda-forge/python-dateutil,2019-11-03 14:12:04.243,13482515.0,1.0,,,
