,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,updated_github_id,labels
124,py2neo,technige/py2neo,Py2neo is a comprehensive toolkit for working with Neo4j from within Python applications or from the command line.,,db-clients,https://github.com/technige/py2neo,https://github.com/technige/py2neo,Apache-2.0,2011-07-03 10:01:07.000,2021-04-01 08:24:46.000,2021-04-01 08:16:02.000,205,18.0,703.0,980,2021-02-22 00:21:36.000,2021.0.1,104.0,33,28,True,conda-forge/py2neo,py2neo,2807.0,,41477.0,1114.0,,https://pypi.org/project/py2neo,2021-02-22 00:21:36.000,1114.0,40748.0,https://anaconda.org/conda-forge/py2neo,2019-03-17 09:26:49.366,33576.0,3.0,,,,
125,redis-py-cluster,grokzen/redis-py-cluster,Python cluster client for the official redis cluster. Redis 3.0+.,,db-clients,https://github.com/Grokzen/redis-py-cluster,https://github.com/Grokzen/redis-py-cluster,MIT,2013-05-21 06:41:34.000,2021-03-09 14:05:36.000,2021-03-09 14:05:36.000,281,30.0,221.0,937,2020-09-25 23:10:37.000,2.1.0,16.0,69,28,True,,redis-py-cluster,723.0,2587.0,715808.0,1124.0,830.0,https://pypi.org/project/redis-py-cluster,2020-09-25 23:07:19.000,294.0,715774.0,,,,3.0,,,,
126,validators,kvesteri/validators,Python Data Validation for Humans.,,data-validation,https://github.com/kvesteri/validators,https://github.com/kvesteri/validators,MIT,2013-10-17 08:16:32.000,2021-03-01 07:13:05.000,2021-03-01 07:13:05.000,86,84.0,32.0,474,2020-12-18 10:27:27.000,0.18.2,36.0,38,28,True,conda-forge/validators,validators,223.0,,438071.0,14648.0,12762.0,https://pypi.org/project/validators,2020-12-18 10:27:27.000,1886.0,437306.0,https://anaconda.org/conda-forge/validators,2020-12-18 12:58:27.348,13014.0,3.0,,,,
127,minio,minio/minio-py,MinIO Client SDK for Python.,,db-clients,https://github.com/minio/minio-py,https://github.com/minio/minio-py,Apache-2.0,2015-06-17 03:51:15.000,2021-04-01 04:01:36.000,2021-03-29 09:17:30.000,183,4.0,394.0,404,2021-02-12 17:54:11.000,7.0.2,86.0,91,28,True,conda-forge/minio,minio,1028.0,,107825.0,1734.0,1390.0,https://pypi.org/project/minio,2021-02-12 05:45:37.000,344.0,106836.0,https://anaconda.org/conda-forge/minio,2021-02-12 07:03:40.477,21768.0,3.0,,,,
128,srsly,explosion/srsly,"Modern high-performance serialization utilities for Python (JSON, MessagePack, Pickle).",,serialization,https://github.com/explosion/srsly,https://github.com/explosion/srsly,MIT,2018-12-01 03:21:56.000,2021-02-03 16:01:02.270,2021-02-01 07:03:21.000,22,2.0,16.0,189,2021-02-01 07:22:43.000,2.4.0,30.0,10,28,True,conda-forge/srsly,srsly,246.0,,593245.0,9785.0,9377.0,https://pypi.org/project/srsly,2021-02-01 07:22:43.000,408.0,578219.0,https://anaconda.org/conda-forge/srsly,2021-02-03 16:01:02.270,390679.0,3.0,,,,
129,ptyprocess,pexpect/ptyprocess,Run a subprocess in a pseudo terminal.,,process-utils,https://github.com/pexpect/ptyprocess,https://github.com/pexpect/ptyprocess,ISC,2014-10-02 16:52:41.000,2021-03-26 20:56:39.000,2021-03-17 20:32:01.000,55,17.0,16.0,128,2020-12-28 15:17:57.000,0.7.0,10.0,13,28,True,conda-forge/ptyprocess,ptyprocess,132.0,,9066075.0,25422.0,,https://pypi.org/project/ptyprocess,2020-12-28 15:15:28.000,25422.0,8996376.0,https://anaconda.org/conda-forge/ptyprocess,2020-12-31 12:57:25.227,4181982.0,3.0,,,,
130,Gooey,chriskiehl/Gooey,Turn (almost) any Python command line program into a full GUI application with one line.,,gui-dev,https://github.com/chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,MIT,2014-01-01 21:06:05.000,2021-03-28 18:31:30.000,2020-12-20 01:39:17.000,672,77.0,376.0,11190,2020-12-20 01:40:37.000,1.0.8,54.0,99,27,True,conda-forge/gooey,gooey,730.0,53.0,2027.0,412.0,348.0,https://pypi.org/project/gooey,2020-05-08 03:35:06.000,64.0,913.0,https://anaconda.org/conda-forge/gooey,2021-01-20 15:25:39.372,25588.0,2.0,,,,
131,PySimpleGUI,PySimpleGUI/PySimpleGUI,PySimpleGUI is a Python package that enables Python programmers of all levels to create GUIs.,,gui-dev,https://github.com/PySimpleGUI/PySimpleGUI,https://github.com/PySimpleGUI/PySimpleGUI,LGPL-3.0,2018-07-11 18:28:58.000,2021-03-31 14:24:16.000,2021-03-31 14:24:16.000,984,673.0,1387.0,5918,2021-03-21 22:31:53.000,4.38.0,144.0,18,27,True,conda-forge/pysimplegui,pysimplegui,4770.0,,21490.0,2176.0,2094.0,https://pypi.org/project/pysimplegui,2021-03-21 22:31:53.000,82.0,20186.0,https://anaconda.org/conda-forge/pysimplegui,2021-03-27 02:34:54.723,26089.0,2.0,,,,
132,Eel,ChrisKnott/Eel,A little Python library for making simple Electron-like HTML/JS GUI apps.,,gui-dev,https://github.com/ChrisKnott/Eel,https://github.com/ChrisKnott/Eel,MIT,2017-12-27 21:37:12.000,2021-03-30 18:03:37.000,2020-08-17 17:56:57.000,407,100.0,269.0,4267,2020-08-17 18:18:21.000,0.14.0,36.0,36,27,True,,eel,255.0,,12596.0,1685.0,1615.0,https://pypi.org/project/eel,2020-08-17 18:18:21.000,70.0,12596.0,,,,2.0,,,,
133,funcy,Suor/funcy,A fancy and practical functional tools.,,utilities,https://github.com/Suor/funcy,https://github.com/Suor/funcy,BSD-3-Clause,2012-10-13 00:44:57.000,2021-03-22 02:47:06.000,2021-03-22 02:45:10.000,117,3.0,58.0,2521,2018-06-30 04:16:20.000,1.10.3,47.0,25,27,True,conda-forge/funcy,funcy,919.0,,144577.0,3605.0,2743.0,https://pypi.org/project/funcy,2020-09-26 12:02:17.000,862.0,142392.0,https://anaconda.org/conda-forge/funcy,2020-09-26 18:07:31.665,111469.0,3.0,,,,
