,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,projectrank,show,fork_count,closed_issue_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing
31,ultrajson,ultrajson/ultrajson,Ultra fast JSON decoder and encoder written in C with Python bindings.,,serialization,https://github.com/ultrajson/ultrajson,https://github.com/ultrajson/ultrajson,BSD-3-Clause,2011-02-27 20:00:51.000,2020-11-16 13:43:16.000,2020-11-16 13:43:14.000,3098,2020-10-09 19:42:06.000,4.0.1,23.0,33,True,305.0,254.0,71.0,,ujson,38.0,607.0,,9072040.0,25734.0,19178.0,https://pypi.org/project/ujson,2020-10-09 19:42:06.000,6556.0,9072040.0,,,,1.0
32,toolz,pytoolz/toolz,A functional standard library for Python.,,utilities,https://github.com/pytoolz/toolz,https://github.com/pytoolz/toolz,BSD-3-Clause,2013-09-13 02:18:43.000,2021-01-11 23:55:56.000,2020-09-24 15:39:55.000,3023,2020-09-24 15:50:48.000,0.11.1,24.0,33,True,210.0,129.0,69.0,conda-forge/toolz,toolz,95.0,1155.0,,2920453.0,38758.0,33238.0,https://pypi.org/project/toolz,2020-09-24 15:50:48.000,5520.0,2858819.0,https://anaconda.org/conda-forge/toolz,2020-09-24 19:02:07.101,3389880.0,2.0
33,pycparser,eliben/pycparser,Complete C99 parser in pure Python.,,others,https://github.com/eliben/pycparser,https://github.com/eliben/pycparser,BSD-3-Clause,2013-06-09 22:01:56.000,2020-12-09 13:51:25.000,2020-12-09 13:51:24.000,2129,,,20.0,33,True,455.0,246.0,70.0,conda-forge/pycparser,pycparser,9.0,493.0,,29118914.0,193354.0,161072.0,https://pypi.org/project/pycparser,2020-03-04 14:16:37.000,32282.0,28973475.0,https://anaconda.org/conda-forge/pycparser,2020-06-27 16:30:32.956,7708306.0,2.0
34,more-itertools,more-itertools/more-itertools,"More routines for operating on iterables, beyond itertools.",,utilities,https://github.com/more-itertools/more-itertools,https://github.com/more-itertools/more-itertools,MIT,2012-04-26 05:15:14.000,2021-01-10 02:58:23.000,2021-01-06 11:55:28.000,1734,2020-10-30 13:51:58.000,8.6.0,32.0,33,True,148.0,140.0,67.0,conda-forge/more-itertools,more-itertools,10.0,1064.0,1934.0,6136036.0,108762.0,93854.0,https://pypi.org/project/more-itertools,2020-10-30 13:50:51.000,14908.0,6038951.0,https://anaconda.org/conda-forge/more-itertools,2020-10-30 15:31:09.885,4367042.0,2.0
35,msgpack,msgpack/msgpack-python,MessagePack serializer implementation for Python msgpack.org[Python].,,serialization,https://github.com/msgpack/msgpack-python,https://github.com/msgpack/msgpack-python,Apache-2.0,2011-08-21 08:24:41.000,2021-01-08 16:17:23.419,2021-01-02 06:39:37.000,1379,2020-12-18 08:40:31.000,1.0.2,14.0,33,True,184.0,218.0,65.0,conda-forge/msgpack-python,msgpack,6.0,806.0,825.0,7540050.0,35481.0,32851.0,https://pypi.org/project/msgpack,2020-12-18 08:40:31.000,2630.0,7476912.0,https://anaconda.org/conda-forge/msgpack-python,2021-01-08 16:17:23.419,3155807.0,1.0
36,simplejson,simplejson/simplejson,"simplejson is a simple, fast, extensible JSON encoder/decoder for Python.",,serialization,https://github.com/simplejson/simplejson,https://github.com/simplejson/simplejson,MIT,2011-02-06 05:47:45.000,2021-01-09 03:09:29.622,2020-12-29 14:51:58.000,1351,2020-07-16 18:33:53.000,3.17.2,95.0,33,True,302.0,159.0,36.0,conda-forge/simplejson,simplejson,15.0,592.0,4963.0,8573773.0,94652.0,55660.0,https://pypi.org/project/simplejson,2020-07-16 18:33:53.000,38992.0,8552974.0,https://anaconda.org/conda-forge/simplejson,2021-01-09 03:09:29.622,870052.0,1.0
37,jmespath,jmespath/jmespath.py,JMESPath is a query language for JSON.,,file-formats,https://github.com/jmespath/jmespath.py,https://github.com/jmespath/jmespath.py,MIT,2013-02-19 22:16:36.000,2020-11-10 08:14:46.000,2020-05-12 22:01:13.000,1194,2020-05-12 22:03:45.000,0.10.0,24.0,33,True,131.0,62.0,22.0,conda-forge/jmespath,jmespath,42.0,526.0,,41294735.0,78931.0,66541.0,https://pypi.org/project/jmespath,2020-05-12 22:03:45.000,12390.0,41232795.0,https://anaconda.org/conda-forge/jmespath,2020-05-13 11:39:21.174,3344787.0,3.0
38,rich,willmcgugan/rich,Rich is a Python library for rich text and beautiful formatting in the terminal.,,cli-helpers,https://github.com/willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000,2021-01-12 04:17:47.830,2021-01-11 21:41:07.000,20195,2021-01-11 21:44:10.000,9.8.0,108.0,32,True,584.0,322.0,70.0,conda-forge/rich,rich,10.0,1564.0,,462592.0,1908.0,1908.0,https://pypi.org/project/rich,2021-01-11 21:42:13.000,0.0,452662.0,https://anaconda.org/conda-forge/rich,2021-01-12 04:17:47.830,59581.0,2.0
39,python-fire,google/python-fire,Python Fire is a library for automatically generating command line interfaces (CLIs) from absolutely any Python object.,,cli-helpers,https://github.com/google/python-fire,https://github.com/google/python-fire,Apache-2.0,2017-02-21 21:35:07.000,2020-12-25 06:52:01.000,2020-12-17 18:55:07.000,18499,2020-04-07 20:05:33.000,0.3.1,8.0,32,True,1105.0,129.0,45.0,conda-forge/fire,fire,88.0,245.0,,523822.0,7381.0,6213.0,https://pypi.org/project/fire,2020-04-07 20:04:38.000,1168.0,521833.0,https://anaconda.org/conda-forge/fire,2020-04-07 20:37:53.830,85532.0,2.0
40,uvloop,MagicStack/uvloop,Ultra fast asyncio event loop.,,async,https://github.com/MagicStack/uvloop,https://github.com/MagicStack/uvloop,MIT,2015-11-08 04:14:54.000,2021-01-06 22:58:15.000,2020-12-15 18:54:40.000,7444,2019-11-05 19:16:27.000,0.14.0,71.0,32,True,440.0,196.0,36.0,conda-forge/uvloop,uvloop,52.0,860.0,309.0,4822344.0,20084.0,17634.0,https://pypi.org/project/uvloop,2019-11-05 18:43:33.000,2450.0,4816320.0,https://anaconda.org/conda-forge/uvloop,2020-11-26 09:27:24.917,234767.0,1.0
