,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,conda_dependent_project_count,new_addition,labels
51,uvloop,MagicStack/uvloop,Ultra fast asyncio event loop.,,async,https://github.com/MagicStack/uvloop,https://github.com/MagicStack/uvloop,MIT,2015-11-08 04:14:54.000,2021-02-03 16:08:20.000,2021-01-25 01:59:20.000,445,51.0,199.0,7502,2019-11-05 19:16:27.000,0.14.0,71.0,36,32,True,conda-forge/uvloop,uvloop,863.0,314.0,6675401.0,21108.0,18658.0,https://pypi.org/project/uvloop,2019-11-05 18:43:33.000,2450.0,6669326.0,https://anaconda.org/conda-forge/uvloop,2020-11-26 09:27:24.917,242829.0,1.0,,,,
52,sh,amoffat/sh,Python process launching.,,process-utils,https://github.com/amoffat/sh,https://github.com/amoffat/sh,MIT,2012-01-15 05:52:06.000,2021-01-09 00:08:02.441,2020-10-24 17:34:47.000,431,14.0,364.0,5577,2020-10-24 17:36:13.000,1.14.1,34.0,80,32,True,conda-forge/sh,sh,1214.0,,601016.0,10994.0,6536.0,https://pypi.org/project/sh,2020-10-24 17:36:13.000,4458.0,599353.0,https://anaconda.org/conda-forge/sh,2021-01-09 00:08:02.441,88178.0,2.0,,,,
53,pydantic,samuelcolvin/pydantic,Data parsing and validation using Python type hints.,,data-validation,https://github.com/samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,MIT,2017-05-03 21:23:58.000,2021-02-02 18:47:12.000,2021-01-29 17:45:57.000,472,308.0,992.0,5277,2020-11-30 23:42:24.000,1.7.3,76.0,181,32,True,conda-forge/pydantic,pydantic,940.0,,1566156.0,12427.0,12039.0,https://pypi.org/project/pydantic,2020-11-01 15:49:06.000,388.0,1549840.0,https://anaconda.org/conda-forge/pydantic,2021-02-02 15:31:48.560,407919.0,1.0,,,,
54,kubernetes,kubernetes-client/python,Official Python client library for kubernetes.,,infrastructure,https://github.com/kubernetes-client/python,https://github.com/kubernetes-client/python,Apache-2.0,2016-10-31 20:08:03.000,2021-02-01 22:04:08.000,2021-01-13 03:18:35.000,1929,104.0,765.0,3416,2020-11-13 06:02:46.000,12.0.1,55.0,80,32,True,conda-forge/kubernetes,kubernetes,836.0,,1644122.0,10584.0,9228.0,https://pypi.org/project/kubernetes,2020-11-13 06:02:46.000,1356.0,1638475.0,https://anaconda.org/conda-forge/kubernetes,2020-08-13 20:29:20.438,197675.0,3.0,,,,
55,pycparser,eliben/pycparser,Complete C99 parser in pure Python.,,others,https://github.com/eliben/pycparser,https://github.com/eliben/pycparser,BSD-3-Clause,2013-06-09 22:01:56.000,2021-02-02 04:56:01.000,2020-12-09 13:51:24.000,455,10.0,247.0,2149,,,20.0,70,32,True,conda-forge/pycparser,pycparser,493.0,,20870348.0,200424.0,168142.0,https://pypi.org/project/pycparser,2020-03-04 14:16:37.000,32282.0,20720256.0,https://anaconda.org/conda-forge/pycparser,2020-06-27 16:30:32.956,8104997.0,2.0,,,,
56,dateparser,scrapinghub/dateparser,python parser for human readable dates.,,date-time-utils,https://github.com/scrapinghub/dateparser,https://github.com/scrapinghub/dateparser,BSD-3-Clause,2014-11-24 17:30:12.000,2021-01-22 16:26:38.000,2020-12-16 14:52:49.000,343,208.0,295.0,1685,2020-10-29 18:45:43.000,1.0.0,19.0,100,32,True,conda-forge/dateparser,dateparser,1262.0,,617897.0,6693.0,5279.0,https://pypi.org/project/dateparser,2020-06-12 16:48:21.000,1414.0,617125.0,https://anaconda.org/conda-forge/dateparser,2020-10-29 19:45:25.551,37833.0,2.0,,,,
57,pyrsistent,tobgu/pyrsistent,Persistent/Immutable/Functional data structures for Python.,,data-structures,https://github.com/tobgu/pyrsistent,https://github.com/tobgu/pyrsistent,MIT,2013-06-20 14:11:13.000,2021-01-30 07:49:02.000,2020-11-30 05:34:37.000,105,31.0,109.0,1480,2020-09-13 07:05:39.000,0.17.3,68.0,49,32,True,conda-forge/pyrsistent,pyrsistent,606.0,,11565571.0,72853.0,69409.0,https://pypi.org/project/pyrsistent,2020-09-13 07:05:39.000,3444.0,11431453.0,https://anaconda.org/conda-forge/pyrsistent,2021-01-08 23:16:23.250,3755331.0,1.0,,,,
58,jmespath,jmespath/jmespath.py,JMESPath is a query language for JSON.,,file-formats,https://github.com/jmespath/jmespath.py,https://github.com/jmespath/jmespath.py,MIT,2013-02-19 22:16:36.000,2020-11-10 08:14:46.000,2020-05-12 22:01:13.000,131,42.0,62.0,1230,2020-05-12 22:03:45.000,0.10.0,24.0,22,32,True,conda-forge/jmespath,jmespath,526.0,,29477071.0,82075.0,69685.0,https://pypi.org/project/jmespath,2020-05-12 22:03:45.000,12390.0,29412059.0,https://anaconda.org/conda-forge/jmespath,2020-05-13 11:39:21.174,3575707.0,3.0,,,,
59,greenlet,python-greenlet/greenlet,Lightweight in-process concurrent programming.,,async,https://github.com/python-greenlet/greenlet,https://github.com/python-greenlet/greenlet,MIT,2011-12-17 21:12:01.000,2021-01-18 22:50:24.000,2021-01-18 22:50:23.000,195,12.0,117.0,1209,2021-01-13 13:38:39.000,1.0.0,27.0,55,32,True,conda-forge/greenlet,greenlet,555.0,,2178150.0,70682.0,50902.0,https://pypi.org/project/greenlet,2021-01-13 13:38:39.000,19780.0,2168923.0,https://anaconda.org/conda-forge/greenlet,2021-01-11 01:50:52.242,415217.0,1.0,,,,
60,rsa,sybrenstuvel/python-rsa,Python-RSA is a pure-Python RSA implementation.,,cryptography,https://github.com/sybrenstuvel/python-rsa,https://github.com/sybrenstuvel/python-rsa,Apache-2.0,2016-01-21 12:53:34.000,2021-01-12 15:13:26.000,2021-01-10 10:35:51.000,60,17.0,77.0,293,2020-06-12 17:53:44.000,4.4.1,31.0,29,32,True,conda-forge/rsa,rsa,506.0,,31118093.0,83899.0,71233.0,https://pypi.org/project/rsa,2021-01-10 10:45:35.000,12666.0,31067746.0,https://anaconda.org/conda-forge/rsa,2021-01-10 12:15:15.270,2769108.0,2.0,,,,
61,fabric,fabric/fabric,"Simple, Pythonic remote execution and deployment.",,infrastructure,https://github.com/fabric/fabric,https://github.com/fabric/fabric,BSD-2-Clause,2009-05-01 01:14:24.000,2021-01-19 05:41:35.350,2020-01-10 21:20:58.000,1817,428.0,1242.0,12710,2021-01-19 01:10:03.000,2.6.0,120.0,128,31,False,conda-forge/fabric,fabric,1455.0,,354882.0,292.0,,https://pypi.org/project/fabric,2021-01-19 01:10:03.000,292.0,354240.0,https://anaconda.org/conda-forge/fabric,2021-01-19 05:41:35.350,34703.0,3.0,,,,
62,schedule,dbader/schedule,Python job scheduling for humans.,,infrastructure,https://github.com/dbader/schedule,https://github.com/dbader/schedule,MIT,2013-05-19 12:51:20.000,2021-02-03 20:53:53.000,2021-02-03 20:53:52.000,750,143.0,183.0,8227,2021-01-30 22:55:14.000,1.0.0,23.0,39,31,True,conda-forge/schedule,schedule,348.0,,332094.0,11977.0,9781.0,https://pypi.org/project/schedule,2021-01-30 22:55:14.000,2196.0,331788.0,https://anaconda.org/conda-forge/schedule,2021-01-31 07:31:50.141,4291.0,3.0,1.0,,,
63,supervisor,Supervisor/supervisor,Supervisor process control system for UNIX.,,process-utils,https://github.com/Supervisor/supervisor,https://github.com/Supervisor/supervisor,Repoze Public License,2010-12-08 00:48:48.000,2021-02-04 12:38:16.000,2021-02-03 07:01:25.000,1094,132.0,864.0,6651,2020-08-20 17:25:21.000,4.2.1,35.0,151,31,True,conda-forge/supervisor,supervisor,2278.0,,452620.0,9389.0,5605.0,https://pypi.org/project/supervisor,2020-08-20 17:25:21.000,3784.0,450219.0,https://anaconda.org/conda-forge/supervisor,2020-10-26 14:57:34.255,136865.0,3.0,,,,
