,name,github_id,description,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,conda_id,pypi_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,updated_github_id,conda_dependent_project_count,labels,gitlab_id,dockerhub_id,docs_url,gitlab_url,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls
11,SQLAlchemy,sqlalchemy/sqlalchemy,The Database Toolkit for Python.,,db-clients,https://github.com/sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,MIT,2017-01-02 21:50:52.207000,2022-01-12 22:03:47.000000,2022-01-11 19:02:22.000000,14754.0,271.0,769,82.0,421.0,208.0,6228.0,4752,2021-12-23 02:19:04.000000,rel_1_4_29,241.0,517.0,44,True,conda-forge/sqlalchemy,SQLAlchemy,34430.0,42452280.0,386056.0,340962.0,https://pypi.org/project/SQLAlchemy,2021-12-23 02:18:54.000000,45094.0,42351185.0,https://anaconda.org/conda-forge/sqlalchemy,2021-12-23 12:23:17.877000,5991967.0,1.0,,,,,,,,,,,
12,cryptography,pyca/cryptography,cryptography is a package designed to expose cryptographic primitives and recipes to Python developers.,,cryptography,https://github.com/pyca/cryptography,https://github.com/pyca/cryptography,BSD-3-Clause,2013-08-07 02:23:38.000000,2022-01-09 09:21:36.000000,2022-01-07 00:22:06.000000,8839.0,276.0,958,119.0,4945.0,54.0,1802.0,4522,2021-12-14 22:11:02.000000,36.0.1,96.0,249.0,44,True,conda-forge/cryptography,cryptography,,69072318.0,251109.0,231410.0,https://pypi.org/project/cryptography,2021-12-14 22:11:02.000000,19699.0,68741881.0,https://anaconda.org/conda-forge/cryptography,2021-12-17 01:16:22.583000,18174054.0,1.0,,,,,,,,,,,
13,redis,andymccurdy/redis-py,Redis Python Client.,,db-clients,https://github.com/redis/redis-py,https://github.com/redis/redis-py,MIT,2009-11-06 10:22:26.000000,2022-01-13 12:21:19.000000,2022-01-12 07:11:29.000000,1795.0,155.0,2061,339.0,862.0,71.0,942.0,9950,2021-12-26 13:36:17.000000,4.1.0,77.0,289.0,43,True,,redis,,17244403.0,156740.0,130154.0,https://pypi.org/project/redis,2021-12-26 13:36:17.000000,26586.0,17244403.0,,,,1.0,,redis/redis-py,,,,,,,,,
14,boto3,boto/boto3,AWS SDK for Python.,,db-clients,https://github.com/boto/boto3,https://github.com/boto/boto3,Apache-2.0,2014-10-03 21:38:03.000000,2022-01-13 01:40:26.196000,2022-01-12 19:07:43.000000,4085.0,159.0,1493,241.0,584.0,276.0,2270.0,6950,2022-01-12 20:04:20.000000,1.20.34,975.0,127.0,43,True,conda-forge/boto3,boto3,,176193419.0,166018.0,150351.0,https://pypi.org/project/boto3,2022-01-12 20:04:20.000000,15667.0,176062946.0,https://anaconda.org/conda-forge/boto3,2022-01-13 01:40:26.196000,8089376.0,1.0,,,,,,,,,,,
15,botocore,boto/botocore,"The low-level, core functionality of boto 3.",,infrastructure,https://github.com/boto/botocore,https://github.com/boto/botocore,Apache-2.0,2012-11-13 13:25:36.000000,2022-01-12 23:11:47.715000,2022-01-12 19:07:26.000000,8432.0,205.0,843,65.0,1736.0,183.0,719.0,1079,2022-01-12 20:04:01.000000,1.23.34,1373.0,166.0,43,True,conda-forge/botocore,botocore,,199172891.0,119910.0,111934.0,https://pypi.org/project/botocore,2022-01-12 20:04:01.000000,7976.0,199005349.0,https://anaconda.org/conda-forge/botocore,2022-01-12 23:11:47.715000,11057787.0,2.0,,,,,,,,,,,
16,docker-compose,docker/compose,Define and run multi-container applications with Docker.,,infrastructure,https://github.com/docker/compose,https://github.com/docker/compose,Apache-2.0,2013-12-09 11:40:58.000000,2022-01-11 17:45:14.000000,2022-01-07 20:22:57.000000,3098.0,116.0,4135,697.0,3013.0,707.0,5353.0,24658,2022-01-06 16:55:10.000000,2.2.3,144.0,426.0,42,True,conda-forge/docker-compose,docker-compose,159887411.0,4359663.0,9377.0,8166.0,https://pypi.org/project/docker-compose,2021-05-10 11:22:10.000000,1211.0,1645302.0,https://anaconda.org/conda-forge/docker-compose,2021-05-10 13:39:50.707000,180639.0,2.0,,,,,,,,,,,
17,Faker,joke2k/faker,Faker is a Python package that generates fake data for you.,,data-loading,https://github.com/joke2k/faker,https://github.com/joke2k/faker,MIT,2012-11-12 23:00:09.000000,2022-01-12 23:19:56.000000,2022-01-11 20:32:58.000000,2838.0,71.0,1546,220.0,1051.0,172.0,405.0,13508,2022-01-05 16:54:34.000000,11.3.0,195.0,436.0,42,True,conda-forge/faker,Faker,,4537607.0,49151.0,46347.0,https://pypi.org/project/Faker,2022-01-05 16:54:26.000000,2804.0,4528446.0,https://anaconda.org/conda-forge/faker,2022-01-07 18:55:11.161000,531343.0,1.0,,,,,,,,,,,
18,azure-storage-blob,Azure/azure-sdk-for-python,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting..,,db-clients,https://github.com/Azure/azure-sdk-for-python,https://github.com/Azure/azure-sdk-for-python,MIT,2012-04-24 16:46:12.000000,2022-01-13 09:04:53.000000,2022-01-13 07:38:46.000000,10534.0,578.0,1630,311.0,16441.0,782.0,5372.0,2342,2022-01-13 09:04:53.000000,azure-mgmt-datafactory_2.2.0,100.0,377.0,42,True,conda-forge/azure-storage-blob,azure-storage-blob,,29585031.0,2296.0,1820.0,https://pypi.org/project/azure-storage-blob,2021-12-14 17:13:31.000000,476.0,29576981.0,https://anaconda.org/conda-forge/azure-storage-blob,2021-09-20 23:44:34.414000,338123.0,1.0,,,,,,,,,,,
19,pydantic,samuelcolvin/pydantic,Data parsing and validation using Python type hints.,,data-validation,https://github.com/samuelcolvin/pydantic,https://github.com/samuelcolvin/pydantic,MIT,2017-05-03 21:23:58.000000,2022-01-10 21:01:36.000000,2022-01-02 13:53:45.000000,1198.0,65.0,803,81.0,1426.0,425.0,1289.0,8735,2021-12-31 15:42:38.000000,1.9.0,85.0,252.0,41,True,conda-forge/pydantic,pydantic,,14172461.0,48196.0,45637.0,https://pypi.org/project/pydantic,2021-12-31 15:42:38.000000,2559.0,14133652.0,https://anaconda.org/conda-forge/pydantic,2022-01-01 17:10:51.611000,1397127.0,1.0,,,,,,,,,,,
20,google-cloud-storage,googleapis/google-cloud-python,Google Cloud Client Library for Python.,,db-clients,https://github.com/googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Apache-2.0,2014-01-28 15:51:47.000000,2022-01-12 18:35:50.000000,2022-01-04 19:08:13.000000,9086.0,10.0,1380,316.0,6928.0,26.0,3339.0,3780,2022-01-12 18:35:50.000000,2.0.0,100.0,319.0,41,True,conda-forge/google-cloud-storage,google-cloud-storage,,34653925.0,1618.0,,https://pypi.org/project/google-cloud-storage,2022-01-12 18:35:50.000000,1618.0,34634265.0,https://anaconda.org/conda-forge/google-cloud-storage,2021-12-02 22:08:30.386000,1081340.0,1.0,,,,,,,,,,,
